"","HW1","HW2","HW3","HW4","HW5","HW6","HW7","HW8","HW9","ATT","QZ1","QZ2","QZ3","QZ4","EX1","EX2","Test1","Test2","Homework","Quiz","Lab","Overall","grade"
"141",60,70,85,75,0,0,0,0,0,3,66.6666666666667,77.7777777777778,0,95,67.2,65.7,84,73,36,80,0,57.85,"D"
"142",90,0,70,90,0,44,0,40,55,10,91.6666666666667,77.7777777777778,55,65,43.2,49.5,54,55,49,78,80,58.95,"D"
"143",87.5,100,100,100,100,100,100,100,80,12,100,100,65,100,80,84.6,100,94,98,100,100,97.9,"A+"
"144",92.5,100,100,70,100,100,92,100,80,12,91.6666666666667,94.4444444444444,85,85,60.8,50.85,76,56.5,96,90,100,81.625,"B-"
"145",87.5,60,100,100,95,92,79,95,100,12,58.3333333333333,66.6666666666667,70,95,60,76.5,75,85,94,77,100,86,"B+"
"146",85,95,100,100,95,100,89,97.5,85,12,91.6666666666667,66.6666666666667,82.5,100,72,79.2,90,88,95,91,100,92.15,"A"
"147",83.5,100,0,90,70,94,76,100,100,12,100,61.1111111111111,90,95,60,67.05,75,74.5,89,95,100,84.575,"B"
"148",85,100,92.5,100,95,100,90,65,100,12,66.6666666666667,100,75,85,66.4,79.2,83,88,95,87,100,90.15,"A"
"149",92.5,100,92.5,70,100,82,86,60,100,12,66.6666666666667,66.6666666666667,40,45,69.6,63.9,87,71,90,59,100,81,"B-"
"150",92.5,97.5,95,100,91.25,100,94,100,95,12,83.3333333333333,77.7777777777778,40,95,62.4,66.6,78,74,97,85,100,85.95,"B"
"151",86,100,100,90,100,92.5,0,90,100,12,58.3333333333333,33.3333333333333,85,90,32.8,66.6,41,74,95,78,100,76.9,"C"
"152",92.5,100,0,90,100,100,89,100,100,12,83.3333333333333,72.2222222222222,80,95,70.4,77.4,88,86,96,86,100,90.8,"A"
"153",82.5,80,95,90,100,98,92,100,85,11,91.6666666666667,88.8888888888889,60,90,68,72.9,85,81,93,90,100,88.65,"A-"
"154",85,42.5,0,0,0,66,0,0,80,6,83.3333333333333,66.6666666666667,0,70,52,43.2,65,48,34,73,0,46.15,"F"
"155",77.5,100,97.5,65,72,81,97,100,75,10,79.1666666666667,50,0,85,64.8,62.1,81,69,88,71,80,78.5,"C+"
"156",70,80,90,100,90,0,90,90,85,12,91.6666666666667,0,75,90,36,46.8,45,52,87,86,100,71,"C"
"157",77.5,92.5,95,90,0,95,94,100,100,10,66.6666666666667,88.8888888888889,70,45,66.4,70.2,83,78,93,75,80,83.25,"B"
"158",92.5,97.5,100,100,100,99,97,100,100,12,91.6666666666667,61.1111111111111,85,70,57.6,72.9,72,81,99,82,100,86.65,"B+"
"159",89.5,100,97.5,80,96.25,96,51,85,100,12,100,66.6666666666667,75,85,69.6,74.7,87,83,93,87,100,89.1,"A-"
"160",89,100,55,98,100,83,100,0,97,9,75,61.1111111111111,0,100,70.4,69.3,88,77,90,79,60,81.7,"B-"
"161",65,82.5,87.5,85,95,95,100,90,80,12,91.6666666666667,77.7777777777778,75,95,70.4,78.3,88,87,89,88,100,89.25,"A-"
"162",92.5,100,100,70,100,100,91,80,90,12,100,66.6666666666667,60,90,68.8,73.35,86,81.5,94,86,100,88.675,"A-"
"163",92.5,97.5,100,0,100,99,94,90,100,12,91.6666666666667,88.8888888888889,80,95,71.2,79.2,89,88,97,92,100,92.7,"A"
"164",92.5,82,92.5,75,100,99,76,90,89,12,100,83.3333333333333,80,40,67.2,78.3,84,87,90,88,100,88.75,"A-"
"165",70,78,95,0,90,97,100,80,100,11,75,27.7777777777778,50,55,64.8,63.9,81,71,89,60,100,79.65,"B-"
"166",80,57.5,100,60,80,78,70,95,94,12,83.3333333333333,66.6666666666667,70,90,68.8,64.35,86,71.5,82,81,100,81.825,"B-"
"167",92.5,100,92.5,95,100,97,97,100,85,12,58.3333333333333,50,52.5,60,68,63,85,70,97,57,100,82.15,"B"
"168",82.5,100,100,100,100,98,71,100,91,12,91.6666666666667,83.3333333333333,80,95,69.6,80.1,87,89,96,90,100,91.95,"A"
"169",80,0,95,0,55,0,0,0,75,7,83.3333333333333,0,0,65,53.6,60.75,67,67.5,38,49,20,51.025,"D"
"170",42.5,52.5,90,72.5,100,95,88,80,85,12,83.3333333333333,88.8888888888889,42.5,80,65.6,63,82,70,83,84,100,81.4,"B-"
"171",80,92.5,100,90,100,94,85,90,85,11,91.6666666666667,88.8888888888889,75,100,66.4,57.15,83,63.5,92,94,100,84.175,"B"
"172",70,100,92.5,82.5,100,99,97,90,85,12,75,83.3333333333333,80,90,69.6,80.1,87,89,93,84,100,90.15,"A"
"173",90,100,100,100,95,99,100,100,100,12,91.6666666666667,100,80,90,70.4,74.7,88,83,99,94,100,92.15,"A"
"174",70,92.5,90,85,95,99,88,90,90,12,91.6666666666667,88.8888888888889,75,90,69.6,65.7,87,73,91,90,100,86.45,"B+"
"175",100,100,85,90,85,89,92,95,95,12,100,94.4444444444444,80,100,79.2,81.9,99,91,93,98,100,95.15,"A+"
"176",100,100,92.5,80,100,98,100,80,100,10,100,0,90,0,70.4,82.8,88,92,96,63,80,86.85,"B+"
"177",40,0,82.5,0,70,0,52,0,98,12,58.3333333333333,61.1111111111111,0,75,46.4,36,58,40,43,65,100,54.25,"D"
"178",92.5,100,92.5,90,100,96,85,90,85,12,83.3333333333333,88.8888888888889,80,75,60,70.65,75,78.5,93,84,100,85.125,"B"
"179",92.5,85,100,85,95,100,92,90,75,12,91.6666666666667,61.1111111111111,80,100,71.2,74.7,89,83,92,91,100,89.8,"A-"
"180",87,100,100,100,100,93,91,80,98,10,83.3333333333333,88.8888888888889,50,85,48,54,60,60,96,86,80,76.7,"C"
"181",75,97.5,67.5,80,95,90,58,100,85,12,100,77.7777777777778,67.5,85,57.6,56.7,72,63,86,88,100,79.15,"C+"
"182",100,100,92.5,90,95,95,100,100,80,12,83.3333333333333,100,80,100,72,80.1,90,89,97,94,100,93.45,"A"
"183",85,85,85,85,85,72,85,65,80,6,75,38.8888888888889,60,70,48.8,54.9,61,61,83,68,0,62.55,"C-"
"184",92.5,70,90,75,100,100,84,100,75,12,100,88.8888888888889,85,95,69.6,66.6,87,74,90,95,100,87.15,"B+"
"185",85,99,92.5,0,0,0,0,0,0,3,41.6666666666667,0,0,0,75.2,66.6,94,74,35,14,0,49.9,"F"
"186",80,100,100,0,90,0,100,70,0,10,83.3333333333333,0,30,70,64,55.35,80,61.5,68,61,80,68.925,"C-"
"187",65,100,55,90,100,86.5,100,85,85,9,83.3333333333333,88.8888888888889,52.5,90,68,60.3,85,67,89,87,60,79.5,"B-"
"188",60,100,92.5,100,95,71,90,92.5,85,10,91.6666666666667,88.8888888888889,52.5,100,72,74.25,90,82.5,91,94,80,88.025,"A-"
"189",75,100,100,100,100,95,100,100,100,12,100,88.8888888888889,82.5,100,66.4,76.05,83,84.5,99,96,100,91.825,"A"
"190",67.5,80,77.5,47.5,100,80,76,77.5,80,12,83.3333333333333,77.7777777777778,75,80,44,64.35,55,71.5,80,80,100,74.875,"C"
"191",73.5,70,92.5,80,100,97,90,100,96,12,66.6666666666667,61.1111111111111,75,85,65.6,73.8,82,82,91,76,100,85.6,"B"
"192",75,90,95,70,85,85,0,62.5,100,12,83.3333333333333,88.8888888888889,40,80,59.2,68.4,74,76,83,84,100,81.3,"B-"
"193",70,97.5,100,70,100,100,97,95,85,12,91.6666666666667,50,80,70,61.2,64.8,76.5,72,93,81,100,83.35,"B"
"194",82.5,100,100,100,97,100,100,90,75,12,91.6666666666667,72.2222222222222,65,80,62.4,57.15,78,63.5,96,81,100,82.425,"B"
"195",91.5,97.5,98,90,92,95,62,95,90,12,66.6666666666667,44.4444444444444,90,90,64,65.25,80,72.5,94,82,100,84.625,"B"
"196",100,72.5,100,100,100,99,97,100,100,12,66.6666666666667,100,85,50,66.4,67.5,83,75,100,84,100,87.95,"B+"
"197",95,100,100,100,100,89,98,85,100,12,91.6666666666667,66.6666666666667,60,80,52.8,63.9,66,71,98,79,100,82.2,"B"
"198",62.5,0,0,0,65,76,71,90,97.5,9,0,44.4444444444444,55,100,68,34.2,85,38,58,66,60,59.8,"D"
"199",52.5,55,85,67.5,90,78,92,80,80,12,50,72.2222222222222,0,85,52,54.45,65,60.5,78,69,100,71.875,"C"
"200",92.5,97.5,0,85,90,76,81,90,80,12,91.6666666666667,50,60,75,69.6,78.3,87,87,86,76,100,86.35,"B+"
"201",100,100,92.5,90,100,99,90,95,100,12,100,100,85,90,70.4,80.1,88,89,97,97,100,93.5,"A"
"202",82,100,87.5,90,100,96,100,80,95,11,75,72.2222222222222,55,75,55.2,57.6,69,64,94,74,100,79.1,"C+"
"203",72.5,95,100,80,100,76,100,90,70,12,91.6666666666667,100,100,100,68.8,81,86,90,89,100,100,91.4,"A"
"204",82.5,85,95,90,100,95,87,85,85,12,91.6666666666667,88.8888888888889,70,100,59.2,71.1,74,79,90,94,100,85.65,"B"
"205",89.5,100,100,70,100,0,97,100,98,10,75,72.2222222222222,70,75,56,56.7,70,63,94,74,80,77.05,"C"
"206",95,75,100,100,100,99,85,85,100,12,50,55.5555555555556,50,95,60.8,51.3,76,57,96,67,100,78.3,"C+"
"207",92.5,100,100,100,100,100,100,100,100,12,66.6666666666667,61.1111111111111,80,90,66.4,66.6,83,74,100,79,100,86.95,"B+"
"208",92.5,0,92.5,95,100,95,0,0,80,9,83.3333333333333,0,35,60,55.2,41.4,69,46,69,59,60,60.85,"C-"
"209",67,0,47.5,90,100,59,59,80,98,12,91.6666666666667,88.8888888888889,85,90,63.2,70.65,79,78.5,75,90,100,81.425,"B-"
"210",90,90,90,90,0,0,0,0,0,6,50,0,35,0,66.24,12.6,82.8,14,45,28,0,37.76,"F"
"211",90,80,80,60,71.25,95,95,100,90,12,66.6666666666667,77.7777777777778,65,75,63.2,61.65,79,68.5,88,73,100,80.275,"B-"
